Y-coordinate,Electric Potential,,,,,
0.552,1.24E-07,,,,,
0.554,1.23E-07,,,,,
0.556,1.22E-07,,,,,
0.558,1.21E-07,,,,,
0.56,1.20E-07,,,,,
0.562,1.19E-07,,,,,
0.564,1.18E-07,,,,,
0.566,1.18E-07,,,,,
0.568,1.17E-07,,,,,
0.57,1.16E-07,,,,,
0.572,1.15E-07,,,,,
0.574,1.14E-07,,,,,
0.576,1.13E-07,,,,,
0.578,1.12E-07,,,,,
0.58,1.12E-07,,,,,
0.582,1.11E-07,,,,,
0.584,1.10E-07,,,,,
0.586,1.09E-07,,,,,
0.588,1.08E-07,,,,,
0.59,1.08E-07,,,,,
0.592,1.07E-07,,,,,
0.594,1.06E-07,,,,,
0.596,1.05E-07,,,,,
0.598,1.04E-07,,,,,
0.6,1.04E-07,,,,,
0.602,1.03E-07,,,,,
0.604,1.02E-07,,,,,
0.606,1.02E-07,,,,,
0.608,1.01E-07,,,,,
0.61,1.00E-07,,,,,
0.612,9.94E-08,,,,,
