Z-coordinate,Electric Potential,,,,,,,,,,,,,
0.0053425,-0.001511088,,,,,,,,,,,,,
0.005343333,-0.001510673,,,,,,,,,,,,,
0.005344167,-0.001510258,,,,,,,,,,,,,
0.005345,-0.001509843,,,,,,,,,,,,,
0.005345833,-0.001509428,,,,,,,,,,,,,
0.005346667,-0.001509014,,,,,,,,,,,,,
0.0053475,-0.001508599,,,,,,,,,,,,,
0.005348333,-0.001508185,,,,,,,,,,,,,
0.005349167,-0.001507771,,,,,,,,,,,,,
0.00535,-0.001507357,,,,,,,,,,,,,
0.005350833,-0.001506944,,,,,,,,,,,,,
0.005351667,-0.00150653,,,,,,,,,,,,,
0.0053525,-0.001506117,,,,,,,,,,,,,
0.005353333,-0.001505704,,,,,,,,,,,,,
0.005354167,-0.001505291,,,,,,,,,,,,,
0.005355,-0.001504879,,,,,,,,,,,,,
0.005355833,-0.001504466,,,,,,,,,,,,,
0.005356667,-0.001504054,,,,,,,,,,,,,
0.0053575,-0.001503642,,,,,,,,,,,,,
0.005358333,-0.00150323,,,,,,,,,,,,,
0.005359167,-0.001502818,,,,,,,,,,,,,
0.00536,-0.001502407,,,,,,,,,,,,,
0.005360833,-0.001501995,,,,,,,,,,,,,
0.005361667,-0.001501584,,,,,,,,,,,,,
0.0053625,-0.001501173,,,,,,,,,,,,,
0.005363333,-0.001500763,,,,,,,,,,,,,
0.005364167,-0.001500352,,,,,,,,,,,,,
0.005365,-0.001499942,,,,,,,,,,,,,
0.005365833,-0.001499531,,,,,,,,,,,,,
0.005366667,-0.001499121,,,,,,,,,,,,,
0.0053675,-0.001498712,,,,,,,,,,,,,
0.005368333,-0.001498302,,,,,,,,,,,,,
0.005369167,-0.001497892,,,,,,,,,,,,,
0.00537,-0.001497483,,,,,,,,,,,,,
0.005370833,-0.001497074,,,,,,,,,,,,,
0.005371667,-0.001496665,,,,,,,,,,,,,
0.0053725,-0.001496256,,,,,,,,,,,,,
0.005373333,-0.001495848,,,,,,,,,,,,,
0.005374167,-0.00149544,,,,,,,,,,,,,
0.005375,-0.001495031,,,,,,,,,,,,,
0.005375833,-0.001494623,,,,,,,,,,,,,
0.005376667,-0.001494216,,,,,,,,,,,,,
0.0053775,-0.001493808,,,,,,,,,,,,,
0.005378333,-0.001493401,,,,,,,,,,,,,
0.005379167,-0.001492993,,,,,,,,,,,,,
0.00538,-0.001492586,,,,,,,,,,,,,
0.005380833,-0.00149218,,,,,,,,,,,,,
0.005381667,-0.001491773,,,,,,,,,,,,,
0.0053825,-0.001491366,,,,,,,,,,,,,
0.005383333,-0.00149096,,,,,,,,,,,,,
0.005384167,-0.001490554,,,,,,,,,,,,,
0.005385,-0.001490148,,,,,,,,,,,,,
0.005385833,-0.001489742,,,,,,,,,,,,,
0.005386667,-0.001489337,,,,,,,,,,,,,
0.0053875,-0.001488931,,,,,,,,,,,,,
0.005388333,-0.001488526,,,,,,,,,,,,,
0.005389167,-0.001488121,,,,,,,,,,,,,
0.00539,-0.001487716,,,,,,,,,,,,,
0.005390833,-0.001487312,,,,,,,,,,,,,
0.005391667,-0.001486907,,,,,,,,,,,,,
0.0053925,-0.001486503,,,,,,,,,,,,,
0.005393333,-0.001486099,,,,,,,,,,,,,
0.005394167,-0.001485695,,,,,,,,,,,,,
0.005395,-0.001485291,,,,,,,,,,,,,
0.005395833,-0.001484888,,,,,,,,,,,,,
0.005396667,-0.001484484,,,,,,,,,,,,,
0.0053975,-0.001484081,,,,,,,,,,,,,
0.005398333,-0.001483678,,,,,,,,,,,,,
0.005399167,-0.001483275,,,,,,,,,,,,,
0.0054,-0.001482873,,,,,,,,,,,,,
0.005400833,-0.00148247,,,,,,,,,,,,,
0.005401667,-0.001482068,,,,,,,,,,,,,
0.0054025,-0.001481666,,,,,,,,,,,,,
0.005403333,-0.001481264,,,,,,,,,,,,,
0.005404167,-0.001480862,,,,,,,,,,,,,
0.005405,-0.00148046,,,,,,,,,,,,,
0.005405833,-0.001480059,,,,,,,,,,,,,
0.005406667,-0.001479658,,,,,,,,,,,,,
0.0054075,-0.001479257,,,,,,,,,,,,,
0.005408333,-0.001478856,,,,,,,,,,,,,
0.005409167,-0.001478455,,,,,,,,,,,,,
0.00541,-0.001478055,,,,,,,,,,,,,
0.005410833,-0.001477655,,,,,,,,,,,,,
0.005411667,-0.001477255,,,,,,,,,,,,,
0.0054125,-0.001476855,,,,,,,,,,,,,
0.005413333,-0.001476455,,,,,,,,,,,,,
0.005414167,-0.001476055,,,,,,,,,,,,,
0.005415,-0.001475656,,,,,,,,,,,,,
0.005415833,-0.001475257,,,,,,,,,,,,,
0.005416667,-0.001474858,,,,,,,,,,,,,
0.0054175,-0.001474459,,,,,,,,,,,,,
0.005418333,-0.00147406,,,,,,,,,,,,,
0.005419167,-0.001473662,,,,,,,,,,,,,
0.00542,-0.001473263,,,,,,,,,,,,,
0.005420833,-0.001472865,,,,,,,,,,,,,
0.005421667,-0.001472467,,,,,,,,,,,,,
0.0054225,-0.00147207,,,,,,,,,,,,,
0.005423333,-0.001471672,,,,,,,,,,,,,
0.005424167,-0.001471275,,,,,,,,,,,,,
0.005425,-0.001470877,,,,,,,,,,,,,
0.005425833,-0.00147048,,,,,,,,,,,,,
0.005426667,-0.001470083,,,,,,,,,,,,,
0.0054275,-0.001469687,,,,,,,,,,,,,
0.005428333,-0.00146929,,,,,,,,,,,,,
0.005429167,-0.001468894,,,,,,,,,,,,,
0.00543,-0.001468498,,,,,,,,,,,,,
0.005430833,-0.001468102,,,,,,,,,,,,,
0.005431667,-0.001467706,,,,,,,,,,,,,
0.0054325,-0.00146731,,,,,,,,,,,,,
0.005433333,-0.001466915,,,,,,,,,,,,,
0.005434167,-0.00146652,,,,,,,,,,,,,
0.005435,-0.001466124,,,,,,,,,,,,,
0.005435833,-0.00146573,,,,,,,,,,,,,
0.005436667,-0.001465335,,,,,,,,,,,,,
0.0054375,-0.00146494,,,,,,,,,,,,,
0.005438333,-0.001464546,,,,,,,,,,,,,
0.005439167,-0.001464152,,,,,,,,,,,,,
0.00544,-0.001463758,,,,,,,,,,,,,
0.005440833,-0.001463364,,,,,,,,,,,,,
0.005441667,-0.00146297,,,,,,,,,,,,,
0.0054425,-0.001462577,,,,,,,,,,,,,
0.005443333,-0.001462183,,,,,,,,,,,,,
0.005444167,-0.00146179,,,,,,,,,,,,,
