"X","Y","Z","Vx","Vy","Vz","Polarity","Charge","Time","Mass","Electric Potential Energy","Kinetic Energy","Total Energy","V/Cm"
"239643.81466874515","245107.29352249595","-133849.0120431894","179755.36045604228","183852.96958397314","-100409.25872709989","1","1.602176634E-19","4.0999999999999995E-9","3.3444950551171926E-27","1.4396362694811883E-6","7.952833764005248E-4","7.96723012670006E-4","1.724110286650945E-27"
"239643.81467774615","245107.2935317035","-133849.01204820184","179755.36045605814","183852.96958399104","-100409.25872709026","1","1.602176634E-19","4.149999999999999E-9","3.3444950551171926E-27","1.4396362491539023E-6","7.95283376400633E-4","7.96723012649787E-4","1.7241102924095907E-27"
"239643.81468674712","245107.29354091105","-133849.0120532143","179755.360456074","183852.96958400894","-100409.25872708063","1","1.602176634E-19","4.199999999999999E-9","3.3444950551171926E-27","1.4396362351259945E-6","7.95283376400741E-4","7.96723012635867E-4","1.724110292658651E-27"
"239643.81469574812","245107.2935501186","-133849.01205822674","179755.36045608987","183852.96958402684","-100409.25872707099","1","1.602176634E-19","4.249999999999998E-9","3.3444950551171926E-27","1.4396362538030061E-6","7.95283376400849E-4","7.96723012654652E-4","1.724110284713203E-27"
"239643.8147047491","245107.29355932618","-133849.0120632392","179755.36045610573","183852.96958404477","-100409.25872706136","1","1.602176634E-19","4.299999999999998E-9","3.3444950551171926E-27","1.439636251455457E-6","7.95283376400957E-4","7.967230126524125E-4","1.7241102910553482E-27"
"239643.8147137501","245107.29356853373","-133849.01206825164","179755.3604561216","183852.96958406267","-100409.25872705173","1","1.602176634E-19","4.349999999999998E-9","3.3444950551171926E-27","1.4396362540380328E-6","7.952833764010651E-4","7.967230126551031E-4","1.724110287658703E-27"
"239643.81472275106","245107.29357774128","-133849.0120732641","179755.36045613745","183852.96958408057","-100409.25872704209","1","1.602176634E-19","4.399999999999997E-9","3.3444950551171926E-27","1.4396362548433962E-6","7.952833764011731E-4","7.967230126560165E-4","1.7241102880437362E-27"
"239643.81473175206","245107.29358694883","-133849.01207827654","179755.3604561533","183852.96958409846","-100409.25872703246","1","1.602176634E-19","4.449999999999997E-9","3.3444950551171926E-27","1.4396362524860353E-6","7.952833764012812E-4","7.967230126537672E-4","1.724110282824499E-27"
"239643.81474075303","245107.29359615638","-133849.012083289","179755.36045616918","183852.9695841164","-100409.25872702281","1","1.602176634E-19","4.4999999999999965E-9","3.3444950551171926E-27","1.4396362575359564E-6","7.952833764013892E-4","7.967230126589251E-4","1.7241102880861653E-27"
"239643.81474975403","245107.29360536393","-133849.01208830148","179755.36045618504","183852.9695841343","-100409.25872701318","1","1.602176634E-19","4.549999999999996E-9","3.3444950551171926E-27","1.4396362455985296E-6","7.952833764014972E-4","7.967230126470958E-4","1.7241102862819217E-27"
"239643.814758755","245107.29361457148","-133849.0120933139","179755.3604562009","183852.9695841522","-100409.25872700354","1","1.602176634E-19","4.599999999999996E-9","3.3444950551171926E-27","1.4396362643854785E-6","7.952833764016052E-4","7.967230126659907E-4","1.7241102863984215E-27"
"239643.814767756","245107.29362377906","-133849.01209832638","179755.36045621676","183852.9695841701","-100409.25872699391","1","1.602176634E-19","4.649999999999995E-9","3.3444950551171926E-27","1.439636266723895E-6","7.952833764017131E-4","7.96723012668437E-4","1.7241102872911572E-27"
"239643.81477675698","245107.2936329866","-133849.0121033388","179755.36045623262","183852.96958418802","-100409.25872698428","1","1.602176634E-19","4.699999999999995E-9","3.3444950551171926E-27","1.4396362459309324E-6","7.952833764018212E-4","7.967230126477521E-4","1.7241102819370753E-27"
"239643.81478575798","245107.29364219416","-133849.01210835128","179755.36045624845","183852.96958420592","-100409.25872697464","1","1.602176634E-19","4.7499999999999946E-9","3.3444950551171926E-27","1.4396362514713836E-6","7.952833764019293E-4","7.967230126534007E-4","1.72411028383006E-27"
"239643.81479475895","245107.2936514017","-133849.01211336371","179755.36045626432","183852.9695842238","-100409.25872696501","1","1.602176634E-19","4.799999999999994E-9","3.3444950551171926E-27","1.4396362564753421E-6","7.952833764020373E-4","7.967230126585126E-4","1.7241102898429263E-27"
"239643.81480375995","245107.29366060926","-133849.01211837618","179755.36045628018","183852.9695842417","-100409.25872695538","1","1.602176634E-19","4.849999999999994E-9","3.3444950551171926E-27","1.4396362395821314E-6","7.952833764021453E-4","7.967230126417274E-4","1.724110283936994E-27"
"239643.81481276092","245107.2936698168","-133849.01212338865","179755.36045629604","183852.9695842596","-100409.25872694574","1","1.602176634E-19","4.8999999999999934E-9","3.3444950551171926E-27","1.4396362452685916E-6","7.952833764022533E-4","7.967230126475219E-4","1.7241102819711356E-27"
"239643.81482176192","245107.29367902435","-133849.01212840108","179755.3604563119","183852.96958427754","-100409.2587269361","1","1.602176634E-19","4.949999999999993E-9","3.3444950551171926E-27","1.4396362542652384E-6","7.952833764023614E-4","7.967230126566266E-4","1.724110290205738E-27"
